phrog_id	color	annot	category
phrog_75	#35d7ff	head-tail adaptor Ad1	connector
phrog_76	#07e9a2	tail protein	tail
phrog_77	#ffdf59	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
phrog_78	#35d7ff	tail terminator	connector
phrog_79	#a861e3	anti-termination protein Q-like	transcription regulation
phrog_80	#3e83f6	head maturation protease	head and packaging
phrog_81	#ff59f5	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
phrog_82	#35d7ff	head closure Hc1	connector
phrog_83	#3e83f6	terminase small subunit	head and packaging
phrog_84	#ffdf59	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism
phrog_85	#ffdf59	thymidylate synthase	DNA, RNA and nucleotide metabolism
phrog_86	#ffdf59	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism
phrog_87	#838383	metallo-protease	other
phrog_88	#07e9a2	major tail protein	tail
phrog_89	#f35f49	Rz-like spanin	lysis
phrog_90	#f35f49	endolysin	lysis
phrog_91	#ffdf59	nicking at origin of replication	DNA, RNA and nucleotide metabolism
phrog_92	#3e83f6	DNA packaging chaperone FI	head and packaging
phrog_93	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
phrog_94	#3e83f6	head maturation protease	head and packaging
phrog_95	#fea328	integrase	integration and excision
phrog_96	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_97	#838383	UvsX-like recombinase	other
phrog_98	#c9c9c9	NA	unknown function
phrog_99	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_100	#ffdf59	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
phrog_101	#a861e3	CII-like transcriptional activator	transcription regulation
phrog_102	#f35f49	endolysin	lysis
phrog_103	#07e9a2	tail protein	tail
phrog_104	#3e83f6	portal protein	head and packaging
phrog_105	#07e9a2	tail fiber assembly	tail
phrog_106	#07e9a2	minor tail protein	tail
phrog_107	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_108	#838383	Lom outer membrane protein	other
phrog_109	#ffdf59	P-like helicase loader	DNA, RNA and nucleotide metabolism
phrog_110	#07e9a2	minor tail protein	tail
phrog_111	#838383	DNA methyltransferase	other
phrog_112	#ffdf59	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	DNA, RNA and nucleotide metabolism
phrog_113	#3e83f6	portal protein	head and packaging
phrog_114	#ffdf59	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism
phrog_115	#3e83f6	minor head protein	head and packaging
phrog_116	#838383	DNA methyltransferase	other
phrog_117	#07e9a2	major tail protein	tail
phrog_118	#35d7ff	head-tail adaptor	connector
phrog_119	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_120	#07e9a2	baseplate wedge subunit	tail
phrog_121	#c9c9c9	NA	unknown function
phrog_122	#3e83f6	head decoration	head and packaging
phrog_123	#35d7ff	tail terminator	connector
phrog_124	#ffdf59	Sak4-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
phrog_125	#ffdf59	DNA invertase	DNA, RNA and nucleotide metabolism
phrog_126	#f35f49	holin/anti-holin	lysis
phrog_127	#a861e3	anti-termination protein Q-like	transcription regulation
phrog_128	#c9c9c9	NA	unknown function
phrog_129	#a861e3	transcriptional regulator	transcription regulation
phrog_130	#a861e3	anti-repressor Ant	transcription regulation
phrog_131	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_132	#35d7ff	head-tail adaptor	connector
phrog_133	#3e83f6	head maturation protease	head and packaging
phrog_134	#c9c9c9	NA	unknown function
phrog_135	#ffdf59	dUTPase	DNA, RNA and nucleotide metabolism
phrog_136	#07e9a2	tail fiber assembly protein	tail
phrog_137	#35d7ff	head-tail adaptor Ad1	connector
phrog_138	#3e83f6	major head protein	head and packaging
phrog_139	#838383	deoxynucleoside monophosphate kinase	other
phrog_140	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_141	#3e83f6	terminase small subunit	head and packaging
phrog_142	#ff59f5	Ren-like exclusion protein	moron, auxiliary metabolic gene and host takeover
phrog_143	#c9c9c9	NA	unknown function
phrog_144	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_145	#3e83f6	portal protein	head and packaging
phrog_146	#3e83f6	portal protein	head and packaging
phrog_147	#a861e3	transcriptional regulator	transcription regulation
phrog_148	#ffdf59	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
phrog_149	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_150	#07e9a2	baseplate hub	tail
phrog_151	#fea328	transposase	integration and excision
phrog_152	#a861e3	RinB-like transcriptional activator	transcription regulation
phrog_153	#07e9a2	minor tail protein	tail
phrog_154	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
phrog_155	#ffdf59	Erf-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
phrog_156	#3e83f6	portal protein	head and packaging
phrog_157	#fea328	transposase	integration and excision
phrog_158	#07e9a2	major tail protein	tail
phrog_159	#ffdf59	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_160	#ffdf59	thymidylate synthase	DNA, RNA and nucleotide metabolism
phrog_161	#35d7ff	head closure Hc1	connector
phrog_162	#f35f49	endolysin	lysis
phrog_163	#a861e3	CII-like transcriptional activator	transcription regulation
phrog_164	#ffdf59	ParA-like partition protein	DNA, RNA and nucleotide metabolism
phrog_165	#07e9a2	tail sheath	tail
phrog_166	#07e9a2	tail protein	tail
phrog_167	#07e9a2	tail length tape measure protein	tail
phrog_168	#ffdf59	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_169	#35d7ff	tail completion or Neck1 protein	connector
phrog_170	#838383	PhoH-like phosphate starvation-inducible	other
phrog_171	#ffdf59	NinG/ Rap DNA junction specific endonuclease	DNA, RNA and nucleotide metabolism
phrog_172	#3e83f6	head scaffolding protein	head and packaging
phrog_173	#ffdf59	nucleoside triphosphate pyrophosphohydrolase	DNA, RNA and nucleotide metabolism
phrog_174	#ffdf59	dCMP deaminase	DNA, RNA and nucleotide metabolism
phrog_175	#f35f49	holin	lysis
phrog_176	#35d7ff	tail terminator	connector
phrog_177	#07e9a2	baseplate hub	tail
phrog_178	#838383	high light inducible protein	other
phrog_179	#35d7ff	tail terminator	connector
phrog_180	#07e9a2	baseplate wedge subunit	tail
phrog_181	#f35f49	endolysin	lysis
phrog_182	#ff59f5	photosystem II D1	moron, auxiliary metabolic gene and host takeover
phrog_183	#07e9a2	tail chaperone protein	tail
phrog_184	#07e9a2	baseplate hub	tail
phrog_185	#07e9a2	tail tube protein	tail
phrog_186	#ffdf59	DnaD-like helicase loader	DNA, RNA and nucleotide metabolism
phrog_187	#35d7ff	head-tail adaptor	connector
phrog_188	#07e9a2	tail fiber assembly protein	tail
phrog_189	#ffdf59	RecA filament binding protein DinI	DNA, RNA and nucleotide metabolism
phrog_190	#ffdf59	Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_191	#a861e3	CII-like transcriptional activator	transcription regulation
phrog_192	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
phrog_193	#3e83f6	head maturation protease	head and packaging
phrog_194	#3e83f6	head scaffolding protein	head and packaging
phrog_195	#35d7ff	head-tail adaptor	connector
phrog_196	#07e9a2	baseplate hub	tail
phrog_197	#ff59f5	Zot-like toxin	moron, auxiliary metabolic gene and host takeover
phrog_198	#f35f49	holin	lysis
phrog_199	#f35f49	holin	lysis
phrog_200	#838383	lipoprotein	other
phrog_201	#ffdf59	Panton-Valentine leukocicin	DNA, RNA and nucleotide metabolism
phrog_202	#07e9a2	distal tail protein Dit	tail
phrog_203	#07e9a2	baseplate wedge subunit	tail
phrog_204	#c9c9c9	NA	unknown function
phrog_205	#07e9a2	tail sheath	tail
phrog_206	#3e83f6	head scaffolding protein	head and packaging
phrog_207	#3e83f6	head maturation protease	head and packaging
phrog_208	#c9c9c9	NA	unknown function
phrog_209	#3e83f6	portal protein	head and packaging
phrog_210	#c9c9c9	NA	unknown function
phrog_211	#35d7ff	head-tail adaptor Ad2	connector
phrog_212	#3e83f6	major head protein	head and packaging
phrog_213	#3e83f6	portal protein	head and packaging
phrog_214	#f35f49	Rz-like spanin	lysis
phrog_215	#3e83f6	structural protein with Ig domain	head and packaging
phrog_216	#fea328	integrase	integration and excision
phrog_217	#f35f49	holin	lysis
phrog_218	#35d7ff	head closure	connector
phrog_219	#07e9a2	baseplate wedge subunit	tail
phrog_220	#3e83f6	minor head protein and DNA pilot	head and packaging
phrog_221	#838383	metallo-phosphoesterase	other
phrog_222	#35d7ff	tail completion or Neck1 protein	connector
phrog_223	#ffdf59	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
phrog_224	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_225	#ffdf59	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_226	#07e9a2	minor tail protein	tail
phrog_227	#07e9a2	tail sheath stabilizer	tail
phrog_228	#a861e3	Arc-like repressor	transcription regulation
phrog_229	#838383	MazG-like pyrophosphatase	other
phrog_230	#07e9a2	baseplate tail tube cap	tail
phrog_231	#ffdf59	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism
phrog_232	#07e9a2	baseplate wedge subunit	tail
phrog_233	#3e83f6	head scaffolding protein	head and packaging
phrog_234	#a861e3	late sigma transcription factor	transcription regulation
phrog_235	#c9c9c9	NA	unknown function
phrog_236	#838383	nucleotide kinase	other
phrog_237	#3e83f6	head scaffolding protein	head and packaging
phrog_238	#07e9a2	major tail protein	tail
phrog_239	#ffdf59	DNA primase/helicase	DNA, RNA and nucleotide metabolism
phrog_240	#3e83f6	head protein	head and packaging
phrog_241	#3e83f6	head morphogenesis	head and packaging
phrog_242	#838383	translation repressor	other
phrog_243	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
phrog_244	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_245	#a861e3	anti-repressor Ant	transcription regulation
phrog_246	#838383	NinI-like serine-threonine phosphatase	other
phrog_247	#3e83f6	major head protein	head and packaging
phrog_248	#a861e3	transcriptional activator	transcription regulation
phrog_249	#ff59f5	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover
phrog_250	#c9c9c9	NA	unknown function
phrog_251	#ff59f5	MokW-like host killing	moron, auxiliary metabolic gene and host takeover
phrog_252	#ffdf59	Bet-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
phrog_253	#ffdf59	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism
phrog_254	#a861e3	late promoter transcriptional regulator	transcription regulation
phrog_255	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_256	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
phrog_257	#07e9a2	minor tail protein	tail
phrog_258	#838383	virulence associated	other
phrog_259	#ff59f5	gam-like host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover
phrog_260	#838383	Bor-like outer membrane protein	other
phrog_261	#07e9a2	baseplate wedge subunit	tail
phrog_262	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_263	#f35f49	holin	lysis
phrog_264	#3e83f6	major head protein	head and packaging
phrog_265	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
phrog_266	#c9c9c9	NA	unknown function
phrog_267	#3e83f6	major head protein	head and packaging
phrog_268	#c9c9c9	NA	unknown function
phrog_269	#ffdf59	DNA helicase loader	DNA, RNA and nucleotide metabolism
phrog_270	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
phrog_271	#a861e3	anti-termination protein N-like	transcription regulation
phrog_272	#fea328	Cox-like excisionase and repressor	integration and excision
phrog_273	#c9c9c9	NA	unknown function
phrog_274	#ffdf59	DNA endonuclease V	DNA, RNA and nucleotide metabolism
phrog_275	#c9c9c9	NA	unknown function
phrog_276	#c9c9c9	NA	unknown function
phrog_277	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
phrog_278	#a861e3	transcriptional regulator	transcription regulation
phrog_279	#07e9a2	tail sheath	tail
phrog_280	#3e83f6	virion structural protein	head and packaging
phrog_281	#ff59f5	PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover
phrog_282	#c9c9c9	NA	unknown function
phrog_283	#3e83f6	major head protein	head and packaging
phrog_284	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_285	#c9c9c9	NA	unknown function
phrog_286	#c9c9c9	NA	unknown function
phrog_287	#07e9a2	minor tail protein	tail
phrog_288	#c9c9c9	NA	unknown function
phrog_289	#838383	GTP-binding domain	other
phrog_290	#07e9a2	minor tail protein	tail
phrog_291	#f35f49	endolysin	lysis
phrog_292	#c9c9c9	NA	unknown function
phrog_293	#ff59f5	ABC transporter	moron, auxiliary metabolic gene and host takeover
phrog_294	#838383	Kil protein for bacterial septation inhibition	other
phrog_295	#07e9a2	tail fiber protein	tail
phrog_296	#fea328	DNA transposition protein	integration and excision
phrog_297	#f35f49	holin	lysis
phrog_298	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_299	#c9c9c9	NA	unknown function
phrog_300	#07e9a2	tail fiber protein	tail
phrog_301	#838383	secreted protein	other
phrog_302	#3e83f6	virion structural protein	head and packaging
phrog_303	#c9c9c9	NA	unknown function
phrog_304	#a861e3	anti-termination protein Q-like	transcription regulation
phrog_305	#07e9a2	tail length tape measure protein	tail
phrog_306	#3e83f6	minor head protein Ace-like	head and packaging
phrog_307	#ffdf59	endonuclease VII	DNA, RNA and nucleotide metabolism
phrog_308	#3e83f6	internal virion protein	head and packaging
phrog_309	#3e83f6	terminase small subunit	head and packaging
phrog_310	#fea328	transposase	integration and excision
phrog_311	#c9c9c9	NA	unknown function
phrog_312	#f35f49	Rz-like spanin	lysis
phrog_313	#07e9a2	Tail assembly chaperone	tail
phrog_314	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism
phrog_315	#f35f49	endolysin	lysis
phrog_316	#ffdf59	dihydrofolate reductase	DNA, RNA and nucleotide metabolism
phrog_317	#f35f49	endolysin	lysis
phrog_318	#838383	deoxyribonucleoside 5' monophosphate phosphatase	other
phrog_319	#ffdf59	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
phrog_320	#35d7ff	head closure Hc1	connector
phrog_321	#35d7ff	tail completion or Neck1 protein	connector
phrog_322	#c9c9c9	NA	unknown function
phrog_323	#a861e3	transcriptional regulator, D5-like	transcription regulation
phrog_324	#3e83f6	head morphogenesis	head and packaging
phrog_325	#ffdf59	Dda-like helicase	DNA, RNA and nucleotide metabolism
phrog_326	#838383	tail protein with endopeptidase domain	other
phrog_327	#07e9a2	tail protein	tail
phrog_328	#3e83f6	head maturation protease	head and packaging
phrog_329	#07e9a2	minor tail protein	tail
phrog_330	#07e9a2	tail assembly chaperone	tail
phrog_331	#c9c9c9	NA	unknown function
phrog_332	#35d7ff	head-tail adaptor	connector
phrog_333	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_334	#3e83f6	major head protein	head and packaging
phrog_335	#838383	phosphatase	other
phrog_336	#c9c9c9	NA	unknown function
phrog_337	#07e9a2	tail protein	tail
phrog_338	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_339	#07e9a2	tail length tape measure protein	tail
phrog_340	#c9c9c9	NA	unknown function
phrog_341	#07e9a2	major tail protein	tail
phrog_342	#3e83f6	internal virion protein with endolysin domain	head and packaging
phrog_343	#c9c9c9	NA	unknown function
phrog_344	#07e9a2	tail assembly chaperone	tail
phrog_345	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
phrog_346	#07e9a2	minor tail protein	tail
phrog_347	#35d7ff	tail terminator	connector
phrog_348	#3e83f6	minor head protein	head and packaging
phrog_349	#3e83f6	virion structural protein	head and packaging
phrog_350	#07e9a2	tail protein	tail
phrog_351	#a861e3	RNA polymerase sigma factor	transcription regulation
phrog_352	#07e9a2	minor tail protein	tail
phrog_353	#ff59f5	toxin	moron, auxiliary metabolic gene and host takeover
phrog_354	#a861e3	sigma-K factor	transcription regulation
phrog_355	#ffdf59	nucleoside 2-deoxyribosyltransferase	DNA, RNA and nucleotide metabolism
phrog_356	#07e9a2	minor tail protein	tail
phrog_357	#a861e3	transcriptional repressor	transcription regulation
phrog_358	#c9c9c9	NA	unknown function
phrog_359	#838383	DNA methyltransferase	other
phrog_360	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
phrog_361	#3e83f6	terminase small subunit	head and packaging
phrog_362	#a861e3	transcriptional repressor	transcription regulation
phrog_363	#838383	DNA methyltransferase	other
phrog_364	#ffdf59	ribonucleoside reductase class II	DNA, RNA and nucleotide metabolism
phrog_365	#07e9a2	tail protein	tail
phrog_366	#07e9a2	tail fiber protein	tail
phrog_367	#ffdf59	ribonucleotide reductase	DNA, RNA and nucleotide metabolism
phrog_368	#c9c9c9	NA	unknown function
phrog_369	#c9c9c9	NA	unknown function
phrog_370	#3e83f6	terminase small subunit	head and packaging
phrog_371	#3e83f6	major head protein	head and packaging
phrog_372	#07e9a2	tail protein	tail
phrog_373	#a861e3	anti-repressor	transcription regulation
phrog_374	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_375	#ff59f5	Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover
phrog_376	#07e9a2	tail protein	tail
phrog_377	#a861e3	anti-repressor Ant	transcription regulation
phrog_378	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_379	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_380	#f35f49	endolysin	lysis
phrog_381	#07e9a2	tail fiber protein	tail
phrog_382	#07e9a2	minor tail protein with lysin activity	tail
phrog_383	#c9c9c9	NA	unknown function
phrog_384	#3e83f6	virion structural protein	head and packaging
phrog_385	#a861e3	transcriptional regulator	transcription regulation
phrog_386	#c9c9c9	NA	unknown function
phrog_387	#35d7ff	neck protein	connector
phrog_388	#ffdf59	nucleotidyltransferase	DNA, RNA and nucleotide metabolism
phrog_389	#07e9a2	tail protein XkdN-like	tail
phrog_390	#a861e3	Arc-like repressor	transcription regulation
phrog_391	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
phrog_392	#838383	metal-dependent hydrolase	other
phrog_393	#07e9a2	tail assembly chaperone	tail
phrog_394	#07e9a2	tail protein	tail
phrog_395	#838383	cytidyltransferase	other
phrog_396	#07e9a2	minor tail protein	tail
phrog_397	#c9c9c9	NA	unknown function
phrog_398	#c9c9c9	NA	unknown function
phrog_399	#3e83f6	structural protein	head and packaging
phrog_400	#07e9a2	tail protein	tail
phrog_401	#c9c9c9	NA	unknown function
phrog_402	#c9c9c9	NA	unknown function
phrog_403	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
phrog_404	#07e9a2	minor tail protein	tail
phrog_405	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_406	#c9c9c9	NA	unknown function
phrog_407	#c9c9c9	NA	unknown function
phrog_408	#c9c9c9	NA	unknown function
phrog_409	#a861e3	transcriptional regulator	transcription regulation
phrog_410	#c9c9c9	NA	unknown function
phrog_411	#c9c9c9	NA	unknown function
phrog_412	#ffdf59	exonuclease VIII	DNA, RNA and nucleotide metabolism
phrog_413	#3e83f6	head protein	head and packaging
phrog_414	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism
phrog_415	#838383	polynucleotide kinase	other
phrog_416	#07e9a2	minor tail protein	tail
phrog_417	#c9c9c9	NA	unknown function
phrog_418	#3e83f6	internal virion protein	head and packaging
phrog_419	#c9c9c9	NA	unknown function
phrog_420	#c9c9c9	unknown function	unknown function
phrog_421	#c9c9c9	unknown function	unknown function
phrog_422	#3e83f6	major head protein	head and packaging
phrog_423	#ffdf59	endonuclease VII	DNA, RNA and nucleotide metabolism
phrog_424	#ff59f5	phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover
phrog_425	#ff59f5	membrane associated protein	moron, auxiliary metabolic gene and host takeover
phrog_426	#3e83f6	terminase small subunit	head and packaging
phrog_427	#c9c9c9	NA	unknown function
phrog_428	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
phrog_429	#ffdf59	DNA end protector	DNA, RNA and nucleotide metabolism
phrog_430	#07e9a2	baseplate hub subunit and tail lysozyme	tail
phrog_431	#c9c9c9	NA	unknown function
phrog_432	#838383	Hsp20 heat shock protein	other
phrog_433	#c9c9c9	NA	unknown function
phrog_434	#ffdf59	RecE-like recombination exonuclease	DNA, RNA and nucleotide metabolism
phrog_435	#f35f49	endolysin	lysis
phrog_436	#c9c9c9	NA	unknown function
phrog_437	#3e83f6	virion structural protein	head and packaging
phrog_438	#07e9a2	baseplate wedge subunit	tail
phrog_439	#fea328	site-specific recombination directionality factor RDF	integration and excision
phrog_440	#838383	transaldolase	other
phrog_441	#07e9a2	tail assembly chaperone	tail
phrog_442	#35d7ff	head-tail adaptor	connector
phrog_443	#f35f49	holin	lysis
phrog_444	#c9c9c9	NA	unknown function
phrog_445	#3e83f6	terminase small subunit	head and packaging
phrog_446	#07e9a2	tail protein	tail
phrog_447	#838383	NAD synthetase	other
phrog_448	#838383	nicotinamide phosphoribosyl transferase	other
phrog_449	#35d7ff	head-tail adaptor	connector
phrog_450	#c9c9c9	NA	unknown function
phrog_451	#c9c9c9	NA	unknown function
phrog_452	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
phrog_453	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
phrog_454	#07e9a2	tail fiber protein	tail
phrog_455	#c9c9c9	NA	unknown function
phrog_456	#f35f49	Rz-like spanin	lysis
phrog_457	#07e9a2	tail protein	tail
phrog_458	#838383	protease	other
phrog_459	#838383	peptidase	other
phrog_460	#35d7ff	head closure Hc2	connector
phrog_461	#c9c9c9	NA	unknown function
phrog_462	#838383	lipoprotein	other
phrog_463	#a861e3	anti-repressor	transcription regulation
phrog_464	#c9c9c9	unknown function	unknown function
phrog_465	#f35f49	endolysin	lysis
phrog_466	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_467	#c9c9c9	NA	unknown function
phrog_468	#c9c9c9	NA	unknown function
phrog_469	#07e9a2	tail protein	tail
phrog_470	#c9c9c9	NA	unknown function
phrog_471	#838383	methylamine utilization	other
phrog_472	#a861e3	WhiB transcriptional factor	transcription regulation
phrog_473	#3e83f6	virion structural protein	head and packaging
phrog_474	#838383	phosphofructokinase	other
phrog_475	#c9c9c9	NA	unknown function
phrog_476	#07e9a2	major tail protein	tail
phrog_477	#35d7ff	head-tail adaptor Ad1	connector
phrog_478	#fea328	site-specific recombination directionality factor RDF	integration and excision
phrog_479	#c9c9c9	NA	unknown function
phrog_480	#c9c9c9	NA	unknown function
phrog_481	#c9c9c9	NA	unknown function
phrog_482	#c9c9c9	NA	unknown function
phrog_483	#c9c9c9	NA	unknown function
phrog_484	#c9c9c9	NA	unknown function
phrog_485	#c9c9c9	NA	unknown function
phrog_486	#3e83f6	virion structural protein	head and packaging
phrog_487	#ff59f5	NrdD-like anaerobic ribonucleotide reductase large subunit	moron, auxiliary metabolic gene and host takeover
phrog_488	#ff59f5	CpeT-like antenna protein	moron, auxiliary metabolic gene and host takeover
phrog_489	#f35f49	endolysin	lysis
phrog_490	#3e83f6	portal protein	head and packaging
